,Country,2018_GDP,2019_GDP,Share,Change,Rank,Continent,Population
1,United States,"20,580.25","21,439.45",24.8,859.2,0,North America,328239523
2,China,"13,368.07","14,140.16",16.3,772.09,0,Asia,1397715000
3,Japan,"4,971.77","5,154.48",5.95,182.71,0,Asia,126264931
4,Germany,"3,951.34","3,863.34",4.46,-88,0,Europe,83132799
5,India,"2,718.73","2,935.57",3.39,216.84,2,Asia,1366417754
6,United Kingdom,"2,828.83","2,743.59",3.17,-85.24,-1,Europe,66834405
7,France,"2,780.15","2,707.07",3.13,-73.08,-1,Europe,67059887
8,Italy,"2,075.86","1,988.64",2.3,-87.22,0,Europe,60297396
9,Brazil,"1,867.82","1,847.02",2.13,-20.8,0,South America,211049527
10,Canada,"1,712.48","1,730.91",2,18.43,1,North America,37589262
11,Russia,"1,657.29","1,637.89",1.89,-19.4,1,Europe,#N/A
12,Korea,"1,720.49","1,629.53",1.88,-90.96,-2,Asia,#N/A
13,Spain,"1,427.53","1,397.87",1.61,-29.66,0,Europe,47076781
14,Australia,"1,420.05","1,376.26",1.59,-43.79,0,Oceania,25364307
15,Mexico,"1,222.05","1,274.18",1.47,52.13,0,North America,127575529
16,Indonesia,"1,022.45","1,111.71",1.28,89.26,0,Asia,270625568
17,Netherlands,914.519,902.355,1.04,-12.164,0,Europe,17332850
18,Saudi Arabia,786.522,779.289,0.9,-7.233,0,Asia,34268528
19,Turkey,771.274,743.708,0.859,-27.566,0,Europe,83429615
20,Switzerland,705.546,715.36,0.826,9.814,0,Europe,8574832
21,Taiwan Province of China,589.906,586.104,0.677,-3.802,0,Asia,#N/A
22,Poland,585.816,565.854,0.653,-19.962,0,Europe,37970874
23,Thailand,504.928,529.177,0.611,24.249,3,Asia,69625582
24,Sweden,556.073,528.929,0.611,-27.144,-1,Europe,10285453
25,Belgium,532.268,517.609,0.598,-14.659,-1,Europe,11484055
26,Islamic Republic of Iran,446.105,458.5,0.529,12.395,2,Asia,#N/A
27,Austria,456.166,447.718,0.517,-8.448,0,Europe,8877067
28,Nigeria,398.186,446.543,0.516,48.357,3,Africa,200963599
29,Argentina,519.487,445.469,0.514,-74.018,-4,South America,44938712
30,Norway,434.167,417.627,0.482,-16.54,-1,Europe,5347896
31,United Arab Emirates,414.179,405.771,0.469,-8.408,-1,Asia,9770529
32,Israel,370.588,387.717,0.448,17.129,1,Asia,9053300
33,Ireland,382.754,384.94,0.445,2.186,-1,Europe,4941444
34,Hong Kong SAR,362.721,372.989,0.431,10.268,2,Asia,#N/A
35,Malaysia,358.579,365.303,0.422,6.724,2,Asia,31949777
36,Singapore,364.139,362.818,0.419,-1.321,-1,Asia,5703569
37,South Africa,368.135,358.839,0.414,-9.296,-3,Africa,58558270
38,Philippines,330.91,356.814,0.412,25.904,2,Asia,108116615
39,Denmark,352.058,347.176,0.401,-4.882,-1,Europe,5818553
