Country Name,Country Code,2015gdp,2016gdp,2017gdp,2018gdp,2019gdp,2019gdppc,2019inflation,2019population,2019unemployment,2019FDI%,Continent,2018population
Aruba,ABW,2919553073,2965921788,3056424581,,,,,106314,,,North America,105845
Afghanistan,AFG,19907111419,19362642267,20191760000,19484384937,19101353833,502.1154869,2.239099329,38041754,,0.122528245,Asia,37172386
Angola,AGO,1.16E+11,1.01E+11,1.22E+11,1.01E+11,94635415870,2973.59116,35.90052398,31825295,,-4.33080862,Africa,30809762
Albania,ALB,11386846319,11861200797,13019693451,15147020535,15278077447,5352.857411,0.381513797,2854191,11.46549988,7.861081727,Europe,2866376
Andorra,AND,2789870188,2896679212,3000180750,3218316013,3154057987,40886.39116,1.507863463,77142,,,Europe,77006
Arab World,ARB,2.53E+12,2.46E+12,2.51E+12,2.77E+12,2.82E+12,6580.056257,0.728386346,427870270,,1.245497836,#N/A,419790591
United Arab Emirates,ARE,3.58E+11,3.57E+11,3.86E+11,4.22E+11,4.21E+11,43103.32306,-1.89992766,9770529,2.226999998,3.273826208,Asia,9630959
Argentina,ARG,5.95E+11,5.58E+11,6.43E+11,5.20E+11,4.50E+11,10006.14897,51.50833752,44938712,9.842700005,1.481788693,South America,44494502
Armenia,ARM,10553337673,10546135160,11527458566,12457941907,13672802158,4622.733493,1.462713928,2957731,,1.858267594,Asia,2951776
American Samoa,ASM,661000000,652000000,602000000,636000000,,,,55312,,,Oceania,55465
Antigua and Barbuda,ATG,1336692593,1436585185,1467977778,1610574074,1727759259,17790.30931,2.508911807,97118,,8.072112241,North America,96286
Australia,AUS,1.35E+12,1.21E+12,1.33E+12,1.43E+12,1.39E+12,54907.10191,3.303873963,25364307,5.159999847,2.877528257,Oceania,24982688
Austria,AUT,3.82E+11,3.95E+11,4.18E+11,4.56E+11,4.46E+11,50277.27509,1.721987644,8877067,4.486599922,-1.814924548,Europe,8840521
Azerbaijan,AZE,53074370486,37867518957,40865558912,47112941176,48047647059,4793.58702,-0.22964079,10023318,4.849999905,3.13005546,Asia,9939771
Burundi,BDI,3104394858,2959640987,3172292379,3036931818,3012334882,261.2474725,0.822247025,11530580,,0.034689387,Africa,11175378
Belgium,BEL,4.62E+11,4.76E+11,5.04E+11,5.43E+11,5.30E+11,46116.69923,1.523563353,11484055,5.359700203,-5.469279984,Europe,11427054
Benin,BEN,11388160958,11821066153,12701656931,14250985959,14390709095,1219.432672,-0.317730866,11801151,,1.599587602,Africa,11485048
Burkina Faso,BFA,11832159276,12822558022,14169905602,16199434625,15745810235,774.8396902,-2.987782503,20321378,,1.320670227,Africa,19751535
Bangladesh,BGD,1.95E+11,2.21E+11,2.50E+11,2.74E+11,3.03E+11,1855.739824,4.458951253,163046161,,0.662018772,Asia,161356039
Bulgaria,BGR,50630703922,53785050339,58950125036,66200847918,67927179737,9737.601351,4.652383579,6975761,4.229899883,2.214224123,Europe,7025037
Bahrain,BHR,31125851064,32250132979,35423643617,37652500000,38574069149,23503.97713,0.616772691,1641172,,2.441420726,Asia,1569439
"Bahamas, The",BHS,11752300000,11938400000,12150400000,12424500000,12827000000,32933.48601,1.414854514,389482,,2.062806983,North America,385640
Bosnia and Herzegovina,BIH,16211541253,16913330694,18080118128,20183498491,20047848435,6073.265203,2.092246138,3301000,15.69209957,1.946396852,Europe,3323929
Belarus,BLR,56454734397,47722657821,54726595249,60031262269,63080457023,6663.295293,6.572033811,9466856,4.159999847,2.018533251,Europe,9483499
Belize,BLZ,1723800000,1775100000,1836600000,1871200000,1879613600,4815.163711,0.182596942,390353,,5.474004349,North America,383071
Bermuda,BMU,,,,,,,,63918,,,North America,63920
Bolivia,BOL,33000198263,33941126194,37508642113,40287647902,40895322865,3552.068762,-0.693004585,11513100,3.821700096,-0.390115806,South America,11353142
Brazil,BRA,1.80E+12,1.80E+12,2.06E+12,1.89E+12,1.84E+12,8717.186278,4.154274316,211049527,11.93330002,3.995293362,South America,209469333
Barbados,BRB,4715000000,4830000000,4978000000,5086500000,5209000000,18148.24493,2.506881348,287025,,4.134574774,North America,286641
Brunei Darussalam,BRN,12930394938,11400854268,12128104859,13567351175,13469422941,31086.75108,-3.33576804,433285,6.923099995,2.771141487,Asia,428962
Bhutan,BTN,2003598213,2158972129,2450364928,2446674102,,,,763092,,,Asia,754394
Botswana,BWA,14420604206,15646316818,17405538618,18663264706,18340510789,7961.33814,0.641240208,2303697,,1.422686309,Africa,2254126
Central African Republic,CAF,1695825708,1825018191,2072350151,2220978978,2220307369,467.9074406,2.410902664,4745185,,1.153045645,Africa,4666377
Canada,CAN,1.56E+12,1.53E+12,1.65E+12,1.72E+12,1.74E+12,46194.72523,1.910662295,37589262,5.66260004,2.755389229,North America,37057765
Central Europe and the Baltics,CEB,1.29E+12,1.32E+12,1.46E+12,1.64E+12,1.66E+12,16184.33201,2.953388141,102378579,3.777512851,4.607250302,#N/A,102537026
Switzerland,CHE,6.80E+11,6.71E+11,6.80E+11,7.05E+11,7.03E+11,81993.72715,0.395972011,8574832,4.394100189,-2.614562409,Europe,8514329
Channel Islands,CHI,,,,,,,,172259,,,#N/A,170499
Chile,CHL,2.44E+11,2.50E+11,2.77E+11,2.98E+11,2.82E+11,14896.45387,2.668611345,18952038,7.290299892,4.22515136,South America,18729160
China,CHN,1.11E+13,1.12E+13,1.23E+13,1.39E+13,1.43E+13,10261.67913,1.581770365,1397715000,5.150000095,1.086358503,Asia,1392730000
Cote d'Ivoire,CIV,45814637971,47964234560,51588158718,57724731365,58792205642,2286.162777,0.545638097,25716544,,1.715711708,Africa,25069229
Cameroon,CMR,30928653814,32643697596,35009262788,38694095651,38760467033,1497.909176,1.584744249,25876380,,2.016580757,Africa,25216237
"Congo, Dem. Rep.",COD,37917704900,37134799975,38019265626,46831342213,47319624204,545.2162123,-1.695922268,86790567,,2.855040058,Africa,84068091
"Congo, Rep.",COG,8556594871,9041986778,9035182062,11662700148,10820591131,2011.072399,-1.243056612,5380508,,31.10814362,Africa,5244363
Colombia,COL,2.93E+11,2.83E+11,3.12E+11,3.34E+11,3.24E+11,6432.387583,4.285597436,50339443,9.961400032,4.420505687,South America,49648685
Comoros,COM,966029542,1012835518,1077439663,1178530758,1185728677,1393.522372,3.330475907,850886,,0.662848969,Africa,832322
Cabo Verde,CPV,1596800287,1662998678,1769787215,1966983316,1981845741,3603.781794,0.562980597,549935,11.28999996,5.313323617,Africa,543767
Costa Rica,CRI,54775994479,57157992434,58481858043,60553901420,61773944174,12238.37496,1.720154794,5047561,11.49059963,4.055237606,North America,4999441
Caribbean small states,CSS,71787351548,68222566249,69913144887,73459161489,76290373254,10307.58628,1.903110416,7401381,,4.851999883,#N/A,7358965
Cuba,CUB,87133000000,91370000000,96851000000,1.00E+11,,,,11333483,,,North America,11338138
Curacao,CUW,3151910782,3122287933,3116610112,3127908045,,,,157538,,,North America,159800
Cayman Islands,CYM,4708336733,4898908676,5141833913,5485419417,,,,64948,,,North America,64174
Cyprus,CYP,19779150116,20890936462,22638608224,24961995749,24564647935,27858.371,0.563740008,1198575,7.073599815,97.05319707,Asia,1189265
Czech Republic,CZE,1.87E+11,1.95E+11,2.16E+11,2.45E+11,2.46E+11,23101.7777,3.523676918,10669709,2.014300108,3.786314532,Europe,10629928
